Transaction_Date,Description,Amount_UGX,Category,Source
2025-03-23,PAID FOR KYAMBOGO,2308700.0,Education,Centenary Bank
2025-12-01,AGENT 5318 - MTN AIRTIME,8500.0,Airtime & Data,Centenary Bank
2026-01-27,AGENT 4677 - CARREFOUR,10400.0,Food & Groceries,Centenary Bank
2025-10-08,AGENT 7084 - SALARY DEPOSIT,1392900.0,Income/Transfers,Centenary Bank
2025-08-19,WHT 39% MAKERERE UNI,2299000.0,Education,Airtel Money
2026-02-01,PAID FOR NANDOS,80300.0,Dining & Drinks,Stanbic
2025-10-10,POS PURCHASE LYCADATA KAMPALA,39500.0,Airtime & Data,Airtel Money
2025-04-24,AGENT 7615 - AIRTEL INTERNET,73800.0,Utilities,MTN MoMo
2025-10-16,MOMOPAY 192208 SAFEBODA,23300.0,Transport,Centenary Bank
2026-01-03,WHT 63% GREENHILL ACADEMY,2239000.0,Education,Stanbic
2025-06-25,AGENT 9436 - CARREFOUR,137200.0,Food & Groceries,Stanbic
2025-08-24,AGENT 2357 - MAKERERE UNI,2376500.0,Education,Stanbic
2025-04-21,MOMOPAY 882086 LOCAL JOINT,34000.0,Dining & Drinks,Stanbic
2026-01-17,PAID FOR MOMO TRANSFER FROM,3574300.0,Income/Transfers,Stanbic
2025-11-08,LYCADATA MBALE,12100.0,Airtime & Data,Centenary Bank
2025-12-18,PAID FOR LINK BUS,66900.0,Transport,Stanbic
2026-02-09,AGENT 9506 - LYCADATA,30900.0,Airtime & Data,Stanbic
2026-01-05,POS PURCHASE KFC KAMPALA,111300.0,Dining & Drinks,MTN MoMo
2025-10-04,UMEME YAKA ENT,158200.0,Utilities,Airtel Money
2025-11-22,MOMOPAY 944692 AIRTEL TOPUP,23300.0,Airtime & Data,Stanbic
2025-08-19,POS PURCHASE QUALITY SUPERMARKET KAMPALA,21200.0,Food & Groceries,Stanbic
2026-03-17,MOMOPAY 128512 SALARY DEPOSIT,1030300.0,Income/Transfers,MTN MoMo
2025-05-10,WHT 93% JAVA HOUSE,95800.0,Dining & Drinks,Stanbic
2025-11-11,PAID FOR CAPITAL SHOPPERS,72300.0,Food & Groceries,MTN MoMo
2025-11-11,ZUKU TV GULU,278300.0,Utilities,Airtel Money
2025-06-17,PAID FOR KFC,92600.0,Dining & Drinks,Airtel Money
2025-10-28,AGENT 4837 - KIKUUBO WHOLESALE,52000.0,Food & Groceries,Airtel Money
2025-11-08,MOMOPAY 327952 ZUKU TV,42000.0,Utilities,Airtel Money
2025-12-31,AGENT 7582 - UBER,75000.0,Transport,MTN MoMo
2025-06-20,POS PURCHASE SAFEBODA KAMPALA,29400.0,Transport,Stanbic
2025-04-11,SHELL MUK,6900.0,Transport,Airtel Money
2025-11-17,AGENT 9396 - MTN AIRTIME,1700.0,Airtime & Data,Stanbic
2025-12-24,MTN AIRTIME ENT,49100.0,Airtime & Data,Centenary Bank
2026-03-12,PAID FOR NANDOS,74500.0,Dining & Drinks,Airtel Money
2025-06-05,POS PURCHASE ZUKU TV KAMPALA,100400.0,Utilities,Airtel Money
2025-05-08,WHT 86% SHELL,24600.0,Transport,Airtel Money
2025-07-28,AGENT 5087 - KFC,103700.0,Dining & Drinks,MTN MoMo
2025-12-11,MOMOPAY 783088 LOCAL JOINT,55100.0,Dining & Drinks,Airtel Money
2025-12-15,MOMOPAY 223534 AIRTEL TOPUP,6200.0,Airtime & Data,Centenary Bank
2025-10-24,KFC MBALE,23500.0,Dining & Drinks,MTN MoMo
2025-09-13,AGENT 5563 - MOMO TRANSFER FROM,4667100.0,Income/Transfers,Centenary Bank
2026-01-13,PAID FOR SALARY DEPOSIT,1299700.0,Income/Transfers,Centenary Bank
2026-03-06,AGENT 2211 - LYCADATA,28200.0,Airtime & Data,Stanbic
2025-10-07,MOMOPAY 597774 STANDARD HIGH,2456500.0,Education,Centenary Bank
2025-06-07,AGENT 7943 - MEGA STANDARD,127500.0,Food & Groceries,Airtel Money
2025-06-16,WHT 92% CARREFOUR,9200.0,Food & Groceries,MTN MoMo
2025-07-14,PAID FOR NANDOS,96600.0,Dining & Drinks,Airtel Money
2026-01-17,POS PURCHASE TOTALENERGIES KAMPALA,68700.0,Transport,Stanbic
2025-05-19,PAID FOR ZUKU TV,296900.0,Utilities,Airtel Money
2025-10-21,MOMOPAY 435616 SAFEBODA,21900.0,Transport,Centenary Bank
2026-03-18,WHT 55% LOCAL JOINT,29300.0,Dining & Drinks,MTN MoMo
2026-03-13,TOTALENERGIES MBALE,63100.0,Transport,Stanbic
2025-06-17,MOMOPAY 652871 CARREFOUR,81600.0,Food & Groceries,MTN MoMo
2025-12-31,MOMOPAY 930535 CARREFOUR,126200.0,Food & Groceries,MTN MoMo
2025-12-25,MOMO TRANSFER FROM KLA,451900.0,Income/Transfers,Airtel Money
2026-02-18,MOMOPAY 273805 MOMO TRANSFER FROM,332800.0,Income/Transfers,Centenary Bank
2025-07-31,BANK TO WALLET MSK,2166400.0,Income/Transfers,Stanbic
2025-07-21,MOMOPAY 352783 JAVA HOUSE,14000.0,Dining & Drinks,MTN MoMo
2025-04-03,WHT 67% NANDOS,79500.0,Dining & Drinks,Stanbic
2025-07-11,POS PURCHASE GREENHILL ACADEMY KAMPALA,2345400.0,Education,Stanbic
2025-03-29,POS PURCHASE MEGA STANDARD KAMPALA,77700.0,Food & Groceries,Stanbic
2025-09-19,POS PURCHASE SHELL KAMPALA,5700.0,Transport,Airtel Money
2025-09-02,JAVA HOUSE KLA,10300.0,Dining & Drinks,Stanbic
2026-01-04,PAID FOR CAPITAL SHOPPERS,87200.0,Food & Groceries,MTN MoMo
2025-08-01,WHT 91% SAFEBODA,26900.0,Transport,Stanbic
2026-01-12,WHT 90% QUALITY SUPERMARKET,130600.0,Food & Groceries,Centenary Bank
2025-08-05,CAFESSERIE ENT,51400.0,Dining & Drinks,Stanbic
2025-12-03,POS PURCHASE KIKUUBO WHOLESALE KAMPALA,49700.0,Food & Groceries,Centenary Bank
2025-07-24,MOMOPAY 270340 CAFESSERIE,21900.0,Dining & Drinks,Airtel Money
2025-08-31,POS PURCHASE JAVA HOUSE KAMPALA,36900.0,Dining & Drinks,Stanbic
2025-06-01,MOMOPAY 715550 MEGA STANDARD,25500.0,Food & Groceries,Stanbic
2025-07-25,WHT 26% MOMO TRANSFER FROM,3571200.0,Income/Transfers,Airtel Money
2026-02-10,AGENT 2158 - BANK TO WALLET,1670400.0,Income/Transfers,Airtel Money
2025-04-23,WHT 80% MTN AIRTIME,16900.0,Airtime & Data,Centenary Bank
2025-04-10,WHT 34% MEGA STANDARD,125700.0,Food & Groceries,MTN MoMo
2025-05-27,AGENT 2098 - NANDOS,88400.0,Dining & Drinks,MTN MoMo
2025-11-02,PAID FOR SALARY DEPOSIT,1992900.0,Income/Transfers,Stanbic
2025-07-26,WHT 52% YY COACHES,53400.0,Transport,Centenary Bank
2025-05-25,WHT 49% SALARY DEPOSIT,1986500.0,Income/Transfers,Centenary Bank
2025-10-20,AGENT 5113 - MTN AIRTIME,11400.0,Airtime & Data,MTN MoMo
2025-10-31,AGENT 5417 - CAFESSERIE,71500.0,Dining & Drinks,Centenary Bank
2025-09-08,WHT 76% AIRTEL TOPUP,47700.0,Airtime & Data,Stanbic
2026-03-16,POS PURCHASE NWSC KAMPALA,41000.0,Utilities,Airtel Money
2025-05-11,AGENT 1595 - AIRTEL TOPUP,14100.0,Airtime & Data,MTN MoMo
2025-05-02,MOMOPAY 919827 LYCADATA,47700.0,Airtime & Data,Stanbic
2025-09-20,WHT 57% CAFESSERIE,37500.0,Dining & Drinks,MTN MoMo
2026-03-13,MOMOPAY 352053 SALARY DEPOSIT,1405700.0,Income/Transfers,Centenary Bank
2026-02-05,MOMOPAY 794368 SALARY DEPOSIT,1110400.0,Income/Transfers,Centenary Bank
2026-03-05,MOMOPAY 916762 AIRTEL TOPUP,18000.0,Airtime & Data,Stanbic
2025-12-12,MOMOPAY 245540 CAPITAL SHOPPERS,106300.0,Food & Groceries,Centenary Bank
2025-03-27,CAPITAL SHOPPERS KLA,103100.0,Food & Groceries,Airtel Money
2026-02-21,MOMOPAY 292168 MOMO TRANSFER FROM,3905600.0,Income/Transfers,MTN MoMo
2025-12-12,POS PURCHASE LINK BUS KAMPALA,28000.0,Transport,Airtel Money
2025-08-13,POS PURCHASE CARREFOUR KAMPALA,102600.0,Food & Groceries,Centenary Bank
2025-06-14,AGENT 1810 - YY COACHES,2000.0,Transport,Centenary Bank
2025-08-08,MOMOPAY 894195 GREENHILL ACADEMY,2527200.0,Education,Stanbic
2025-05-02,POS PURCHASE YY COACHES KAMPALA,72000.0,Transport,MTN MoMo
2025-04-28,CARREFOUR MUK,32500.0,Food & Groceries,Stanbic
2025-07-02,WHT 26% SAFEBODA,28200.0,Transport,MTN MoMo
2025-06-19,WHT 49% JAVA HOUSE,109800.0,Dining & Drinks,Centenary Bank
2026-03-16,PAID FOR TOTALENERGIES,73500.0,Transport,MTN MoMo
2025-06-13,PAID FOR BANK TO WALLET,808000.0,Income/Transfers,Airtel Money
2025-04-11,LINK BUS MSK,6700.0,Transport,Airtel Money
2025-04-20,CAPITAL SHOPPERS GULU,40500.0,Food & Groceries,Stanbic
2025-09-18,MOMOPAY 980660 CAPITAL SHOPPERS,79200.0,Food & Groceries,MTN MoMo
2025-06-01,AGENT 9936 - SALARY DEPOSIT,4531000.0,Income/Transfers,Stanbic
2025-05-04,AIRTEL INTERNET ENT,206300.0,Utilities,MTN MoMo
2025-10-19,KFC KLA,13300.0,Dining & Drinks,Stanbic
2025-09-03,WHT 49% AIRTEL TOPUP,14300.0,Airtime & Data,Centenary Bank
2025-10-06,MOMOPAY 868845 NANDOS,33800.0,Dining & Drinks,Airtel Money
2025-08-15,WHT 25% LOCAL JOINT,95000.0,Dining & Drinks,Stanbic
2025-11-02,KIKUUBO WHOLESALE MUK,135400.0,Food & Groceries,MTN MoMo
2025-12-12,AGENT 7324 - BANK TO WALLET,4211300.0,Income/Transfers,Airtel Money
2025-12-25,MOMOPAY 322762 STANDARD HIGH,2218300.0,Education,Stanbic
2026-01-24,PAID FOR MOMO TRANSFER FROM,3718700.0,Income/Transfers,MTN MoMo
2025-11-22,AGENT 6729 - CAPITAL SHOPPERS,45700.0,Food & Groceries,Stanbic
2025-11-27,PAID FOR SALARY DEPOSIT,4703500.0,Income/Transfers,MTN MoMo
2025-12-25,AGENT 7157 - LYCADATA,19700.0,Airtime & Data,MTN MoMo
2025-06-12,MOMOPAY 331195 CAFESSERIE,44100.0,Dining & Drinks,Airtel Money
2026-01-17,CAPITAL SHOPPERS GULU,115500.0,Food & Groceries,Centenary Bank
2025-07-29,PAID FOR QUALITY SUPERMARKET,137500.0,Food & Groceries,Airtel Money
2025-07-07,LOCAL JOINT MBALE,103100.0,Dining & Drinks,Stanbic
2025-08-09,POS PURCHASE BANK TO WALLET KAMPALA,298400.0,Income/Transfers,MTN MoMo
2025-10-26,POS PURCHASE MAKERERE UNI KAMPALA,1068900.0,Education,Centenary Bank
2026-01-20,WHT 32% NANDOS,116200.0,Dining & Drinks,MTN MoMo
2026-02-04,PAID FOR SALARY DEPOSIT,4597200.0,Income/Transfers,MTN MoMo
2025-05-04,KFC MBALE,97600.0,Dining & Drinks,MTN MoMo
2026-02-14,PAID FOR BANK TO WALLET,3979500.0,Income/Transfers,Airtel Money
2025-12-24,MOMOPAY 844054 MULTICHOICE DSTV,160100.0,Utilities,Stanbic
2025-12-16,WHT 64% MULTICHOICE DSTV,295100.0,Utilities,Airtel Money
2025-06-17,AGENT 1879 - AIRTEL TOPUP,1200.0,Airtime & Data,Stanbic
2025-08-20,MOMOPAY 875843 CARREFOUR,132700.0,Food & Groceries,Airtel Money
2025-05-11,AGENT 9851 - MOMO TRANSFER FROM,540700.0,Income/Transfers,MTN MoMo
2025-08-17,PAID FOR CAFESSERIE,51300.0,Dining & Drinks,MTN MoMo
2025-07-03,MOMOPAY 524679 CAPITAL SHOPPERS,104000.0,Food & Groceries,Airtel Money
2026-02-04,PAID FOR SAFEBODA,16400.0,Transport,MTN MoMo
2025-05-19,PAID FOR CARREFOUR,116600.0,Food & Groceries,MTN MoMo
2025-07-04,POS PURCHASE JAVA HOUSE KAMPALA,39800.0,Dining & Drinks,Stanbic
2026-02-12,MOMOPAY 502939 MTN AIRTIME,21800.0,Airtime & Data,MTN MoMo
2025-05-31,AGENT 6048 - QUALITY SUPERMARKET,145500.0,Food & Groceries,Centenary Bank
2025-12-09,PAID FOR YY COACHES,43300.0,Transport,MTN MoMo
2025-07-02,AGENT 6591 - SAFEBODA,28700.0,Transport,Centenary Bank
2025-11-07,LINK BUS MSK,27900.0,Transport,Airtel Money
2025-12-29,WHT 64% MOMO TRANSFER FROM,2904700.0,Income/Transfers,Stanbic
2025-12-10,PAID FOR QUALITY SUPERMARKET,66800.0,Food & Groceries,Stanbic
2025-07-18,MAKERERE UNI GULU,1630600.0,Education,Stanbic
2025-04-12,UMEME YAKA MBALE,80300.0,Utilities,MTN MoMo
2026-01-17,PAID FOR MTN AIRTIME,10800.0,Airtime & Data,Stanbic
2025-03-31,CARREFOUR ENT,81800.0,Food & Groceries,MTN MoMo
2025-05-10,WHT 35% CAPITAL SHOPPERS,49100.0,Food & Groceries,Centenary Bank
2025-09-04,MOMOPAY 407196 UBER,56900.0,Transport,Centenary Bank
2025-05-08,KYAMBOGO KLA,2623100.0,Education,MTN MoMo
2025-11-07,MOMO TRANSFER FROM ENT,3722100.0,Income/Transfers,Stanbic
2025-10-22,AGENT 3841 - QUALITY SUPERMARKET,130100.0,Food & Groceries,Airtel Money
2025-04-17,MOMOPAY 835407 MTN AIRTIME,40500.0,Airtime & Data,MTN MoMo
2025-12-11,AGENT 5444 - AIRTEL TOPUP,19900.0,Airtime & Data,Stanbic
2025-05-30,MOMOPAY 690265 MOMO TRANSFER FROM,556900.0,Income/Transfers,Stanbic
2025-04-06,AGENT 5024 - JAVA HOUSE,51200.0,Dining & Drinks,Centenary Bank
2025-12-17,PAID FOR KFC,86200.0,Dining & Drinks,MTN MoMo
2026-01-31,MEGA STANDARD MBALE,35900.0,Food & Groceries,Centenary Bank
2025-11-18,POS PURCHASE AIRTEL TOPUP KAMPALA,12400.0,Airtime & Data,MTN MoMo
2025-12-17,MOMOPAY 873016 KIKUUBO WHOLESALE,66500.0,Food & Groceries,Stanbic
2025-09-06,POS PURCHASE TOTALENERGIES KAMPALA,10000.0,Transport,Stanbic
2025-10-16,MOMOPAY 721386 MEGA STANDARD,109700.0,Food & Groceries,Centenary Bank
2025-10-19,POS PURCHASE QUALITY SUPERMARKET KAMPALA,29200.0,Food & Groceries,Stanbic
2025-10-11,PAID FOR UBER,6900.0,Transport,Centenary Bank
2025-03-29,PAID FOR STANDARD HIGH,983100.0,Education,Stanbic
2025-10-18,MOMOPAY 154623 SAFEBODA,48400.0,Transport,MTN MoMo
2026-01-04,AGENT 1625 - BANK TO WALLET,3850600.0,Income/Transfers,Airtel Money
2025-12-30,WHT 72% CAFESSERIE,100600.0,Dining & Drinks,Airtel Money
2025-03-31,WHT 37% LYCADATA,24900.0,Airtime & Data,MTN MoMo
2025-04-23,MOMOPAY 161928 BANK TO WALLET,3803600.0,Income/Transfers,Airtel Money
2025-10-19,AGENT 6344 - LINK BUS,5000.0,Transport,Centenary Bank
2025-10-29,POS PURCHASE MTN AIRTIME KAMPALA,41200.0,Airtime & Data,Centenary Bank
2026-01-07,POS PURCHASE CARREFOUR KAMPALA,115700.0,Food & Groceries,Stanbic
2025-08-21,YY COACHES ENT,15800.0,Transport,Stanbic
2025-08-10,WHT 79% AIRTEL TOPUP,27900.0,Airtime & Data,Centenary Bank
2026-01-06,MTN AIRTIME KLA,12200.0,Airtime & Data,Centenary Bank
2025-04-25,MOMOPAY 873153 LYCADATA,5400.0,Airtime & Data,Airtel Money
2025-10-22,AGENT 3051 - MULTICHOICE DSTV,12700.0,Utilities,Stanbic
2025-04-25,MOMOPAY 686479 MOMO TRANSFER FROM,2229800.0,Income/Transfers,Centenary Bank
2025-10-16,MEGA STANDARD KLA,90100.0,Food & Groceries,Airtel Money
2025-09-05,WHT 88% MTN AIRTIME,13500.0,Airtime & Data,Airtel Money
2025-04-05,PAID FOR SHELL,69400.0,Transport,Stanbic
2026-03-22,AGENT 8816 - SALARY DEPOSIT,4767200.0,Income/Transfers,Centenary Bank
2025-07-01,PAID FOR LYCADATA,14300.0,Airtime & Data,Stanbic
2025-11-11,WHT 12% BANK TO WALLET,2853200.0,Income/Transfers,Stanbic
2026-03-13,AGENT 4055 - MTN AIRTIME,31300.0,Airtime & Data,Airtel Money
2025-07-26,PAID FOR KIKUUBO WHOLESALE,105500.0,Food & Groceries,Stanbic
2026-01-26,AGENT 6711 - MULTICHOICE DSTV,94300.0,Utilities,Airtel Money
2025-05-04,LYCADATA GULU,42100.0,Airtime & Data,Centenary Bank
2025-08-28,MOMOPAY 692682 KIKUUBO WHOLESALE,39500.0,Food & Groceries,Airtel Money
2026-02-03,MOMOPAY 760782 LYCADATA,23100.0,Airtime & Data,Centenary Bank
2025-04-01,POS PURCHASE KIKUUBO WHOLESALE KAMPALA,82900.0,Food & Groceries,MTN MoMo
2025-04-28,PAID FOR SHELL,71600.0,Transport,Centenary Bank
2026-02-18,AGENT 3280 - AIRTEL TOPUP,6900.0,Airtime & Data,Centenary Bank
2025-12-08,POS PURCHASE MTN AIRTIME KAMPALA,6300.0,Airtime & Data,Centenary Bank
2025-07-04,PAID FOR ZUKU TV,289500.0,Utilities,Stanbic
2026-03-09,PAID FOR MOMO TRANSFER FROM,3917300.0,Income/Transfers,MTN MoMo
2025-11-06,POS PURCHASE KIKUUBO WHOLESALE KAMPALA,21600.0,Food & Groceries,Centenary Bank
2025-07-14,AGENT 7328 - YY COACHES,5000.0,Transport,MTN MoMo
2026-02-02,MOMOPAY 331027 MTN AIRTIME,21000.0,Airtime & Data,Airtel Money
2025-08-25,AGENT 3077 - SALARY DEPOSIT,1485500.0,Income/Transfers,Centenary Bank
2025-05-31,POS PURCHASE AIRTEL INTERNET KAMPALA,176800.0,Utilities,Airtel Money
2026-01-24,POS PURCHASE MAKERERE UNI KAMPALA,1477900.0,Education,Airtel Money
2026-02-10,AGENT 8802 - AIRTEL TOPUP,12900.0,Airtime & Data,MTN MoMo
2025-06-11,MOMOPAY 233929 YY COACHES,24900.0,Transport,Centenary Bank
2025-11-12,MOMOPAY 276612 JAVA HOUSE,107200.0,Dining & Drinks,MTN MoMo
2026-02-05,MOMOPAY 696441 STANDARD HIGH,788000.0,Education,Airtel Money
2025-08-08,PAID FOR SAFEBODA,78300.0,Transport,Centenary Bank
2025-10-25,MULTICHOICE DSTV MUK,220400.0,Utilities,Airtel Money
2025-08-10,MTN AIRTIME MSK,36100.0,Airtime & Data,Centenary Bank
2026-01-24,POS PURCHASE CARREFOUR KAMPALA,81500.0,Food & Groceries,Centenary Bank
2025-10-04,MOMOPAY 110110 YY COACHES,74800.0,Transport,Centenary Bank
2025-09-21,WHT 37% MEGA STANDARD,29900.0,Food & Groceries,Airtel Money
2025-10-29,UBER MSK,75100.0,Transport,Centenary Bank
2026-03-16,WHT 48% KFC,22800.0,Dining & Drinks,Stanbic
2026-01-28,POS PURCHASE CARREFOUR KAMPALA,73400.0,Food & Groceries,Centenary Bank
2025-04-14,PAID FOR NANDOS,94400.0,Dining & Drinks,MTN MoMo
2026-02-10,POS PURCHASE NWSC KAMPALA,276900.0,Utilities,Centenary Bank
2025-07-10,PAID FOR NWSC,49300.0,Utilities,Airtel Money
2026-02-21,POS PURCHASE NANDOS KAMPALA,58100.0,Dining & Drinks,Centenary Bank
2026-03-03,AIRTEL INTERNET GULU,202300.0,Utilities,Airtel Money
2026-01-27,MOMOPAY 580244 MOMO TRANSFER FROM,3737600.0,Income/Transfers,Airtel Money
2026-02-24,WHT 73% LYCADATA,34400.0,Airtime & Data,Airtel Money
2025-09-06,PAID FOR TOTALENERGIES,60800.0,Transport,Stanbic
2025-09-24,PAID FOR MOMO TRANSFER FROM,4603400.0,Income/Transfers,MTN MoMo
2025-11-10,PAID FOR CAPITAL SHOPPERS,64400.0,Food & Groceries,Centenary Bank
2026-01-29,AGENT 1347 - TOTALENERGIES,78300.0,Transport,Airtel Money
2026-02-07,MOMOPAY 846486 NWSC,106700.0,Utilities,Stanbic
2025-11-28,CARREFOUR MSK,81100.0,Food & Groceries,MTN MoMo
2025-08-17,MEGA STANDARD KLA,98800.0,Food & Groceries,Airtel Money
2025-07-26,PAID FOR MEGA STANDARD,104800.0,Food & Groceries,Airtel Money
2026-01-17,POS PURCHASE SALARY DEPOSIT KAMPALA,396400.0,Income/Transfers,Stanbic
2025-10-01,POS PURCHASE SAFEBODA KAMPALA,56900.0,Transport,Centenary Bank
2025-08-16,WHT 21% LOCAL JOINT,102900.0,Dining & Drinks,Centenary Bank
2025-12-04,POS PURCHASE YY COACHES KAMPALA,62400.0,Transport,MTN MoMo
2026-02-22,MOMOPAY 114886 CAPITAL SHOPPERS,65300.0,Food & Groceries,Airtel Money
2025-06-23,CAPITAL SHOPPERS ENT,83800.0,Food & Groceries,Centenary Bank
2025-06-19,PAID FOR LYCADATA,7800.0,Airtime & Data,MTN MoMo
2025-10-17,AGENT 6287 - KIKUUBO WHOLESALE,5200.0,Food & Groceries,Stanbic
2025-12-21,AGENT 5772 - MAKERERE UNI,1650800.0,Education,Airtel Money
2025-06-16,SALARY DEPOSIT GULU,4601300.0,Income/Transfers,Airtel Money
2025-04-16,WHT 32% CAPITAL SHOPPERS,129900.0,Food & Groceries,Airtel Money
2025-09-22,NANDOS KLA,80900.0,Dining & Drinks,Stanbic
2025-05-27,KFC ENT,57100.0,Dining & Drinks,MTN MoMo
