text,label
paid 66400 towards tolls,Transport
got maintenance - 289100,Housing
paid 9k for plumber,Housing
went to cleaning and spent 92k,Housing
just paid 77 for music,Entertainment
spent 59k on doctor,Healthcare
just paid 99 for bowling,Entertainment
"wifi today, 205",Utilities
paid 87k for target,Shopping
got gifts - 220,Shopping
paid 177 towards amazon,Shopping
tolls cost me 58k,Transport
went to kfc and spent 118,Food
plumber cost,Housing
got power - 172800,Utilities
spent 40 on wifi,Utilities
music,Entertainment
got party - 373100,Entertainment
spent on dentist,Healthcare
got water bill - 46,Utilities
went to hospital and spent 7k,Healthcare
trash 408,Utilities
spent 91k on clothes,Shopping
paid 6k towards fuel,Transport
gas bill 23,Utilities
cost of gifts was 263200,Shopping
 ,Food
paid 93k for lunch,Food
hospital,Healthcare
medicine,Healthcare
paid 196300 for sneakers,Shopping
paid 105 for hospital,Healthcare
spent 74k on plumber,Housing
paid 91100 for music,Entertainment
expensive doctor 420,Healthcare
"wifi today, 302",Utilities
maintenance 415,Housing
watr blll,Utilities
"coffee today, 469900",Food
54k for rent,Housing
spent on electricity,Utilities
gas,Transport
360 for cinema,Entertainment
120k,Shopping
spent 226800 on medicine,Healthcare
paid 61k for coffee,Food
just paid 85k for movie,Entertainment
bought sneakers for 20k,Shopping
went to shoes and spent 477,Shopping
coffee cost me 393500,Food
spent on gas,Transport
paid 430 for games,Entertainment
restaurant,Food
bought property tax for 491,Housing
paid for concert,Entertainment
netflix 346300,Entertainment
cinema cost me 333,Entertainment
cost of cell plan was 57900,Utilities
bought best buy for 36,Shopping
cost of internet was 86k,Utilities
went to gas and spent 78400,Transport
rent cost me 162400,Housing
paid 31100 towards sneakers,Shopping
cost of electronics was 145,Shopping
paid for netflix,Healthcare
392 for parking,Transport
medicine cost me 270,Healthcare
netflix,Entertainment
expensive cell plan 125700,Utilities
paid 23k for netflix,Entertainment
got first aid - 144000,Healthcare
spent 221 on cafe,Food
spent on jacket,Shopping
tolls cost me 92k,Transport
burger cost,Food
apartment 62k,Housing
354500 for kfc,Food
"fuel today, 98k",Transport
"apartment today, 98k",Housing
just paid 31k for coffee,Food
cost of spotify was 42k,Entertainment
theater cost me 79k,Entertainment
"pharmacy today, 194700",Healthcare
"best buy today, 39k",Shopping
expensive meal 242,Food
laptop cost me 25k,Shopping
uber,Transport
went to restaurant and spent 44300,Food
trash,Utilities
paid 468000 for apartment,Housing
"gifts today, 168100",Shopping
fuel,Transport
paid for breakfast,Food
10k for best buy,Shopping
went to maintenance and spent 381,Housing
just paid 64k for mall,Shopping
bought mall for 141,Shopping
cost of dinner was 82800,Food
just paid 86k for shirts,Shopping
286 for dentist,Healthcare
"broadband today, 31k",Utilities
spent 493 on train,Transport
sneakers,Shopping
got lunch - 386700,Food
spent 93k on wifi,Utilities
spent 207700 on bowling,Entertainment
bought sneakers for 39k,Shopping
spent 75600 on dinner,Food
paid for gas bill,Utilities
paid 28k for checkup,Healthcare
bought netflix for 344600,Entertainment
cost of furniture was 287500,Housing
watr blll,Utilities
wifi 61k,Utilities
fuel,Transport
expensive shoes 15k,Shopping
bought bowling for 50k,Entertainment
transit cost,Transport
just paid 99k for vitamins,Healthcare
tolls,Transport
17k for pharmacy,Healthcare
medicine,Healthcare
breakfast,Food
expensive vitamins 164,Healthcare
laptop 461500,Shopping
bought spotify for 46k,Entertainment
broadband cost me 238800,Utilities
just paid 60500 for laptop,Shopping
spent on cinema,Entertainment
mortgage 124,Housing
spent 498 on clinic,Healthcare
just paid 104700 for electricity,Utilities
therapy,Healthcare
went to lunch and spent 98k,Food
paid 121700 for phone bill,Utilities
paid 354 for movie,Entertainment
paid 101200 for restaurant,Food
went to jacket and spent 148800,Shopping
paid for checkup,Healthcare
bought a laptop,Food
bought train for 282800,Transport
spppent 45kkk on kfffcc,Food
cost of apartment was 428800,Housing
cleaning 182200,Housing
bought property tax for 17700,Housing
uber 77k,Transport
paid 218 towards restaurant,Food
gas bill 146,Utilities
paid 143700 for therapy,Healthcare
438600 for lunch,Food
asdfasdf rent asdf,Housing
176100 for flight,Transport
31k for movie,Entertainment
bought subway for 35k,Transport
spent on target,Shopping
expensive checkup 295400,Healthcare
$$$@#$@@! coffee!!!,Food
248 for games,Entertainment
went to jacket and spent 51k,Shopping
uber,Transport
spent 63k on cinema,Entertainment
spent on laptop,Shopping
gifts 84k,Shopping
got theater - 6k,Entertainment
just paid 55k for shoes,Shopping
expensive cleaning 32600,Housing
got gas bill - 184200,Utilities
went to wifi and spent 212,Utilities
spent on ikea,Housing
cost of flight was 78200,Transport
home depot 1k,Housing
spent on best buy,Shopping
bought transit for 46k,Transport
paid 331200 towards fuel,Transport
home depot cost me 207800,Housing
spent 141000 on property tax,Housing
went to doctor and spent 42,Healthcare
paid for snacks,Food
expensive parking 321,Transport
paid 93k for mall,Shopping
wifi cost,Utilities
paid for games,Entertainment
120900 for furniture,Housing
snacks cost,Food
paid 293100 for mortgage,Housing
322 for apartment,Housing
bought clothes for 38700,Shopping
went to kfc and spent 277,Food
went to phone bill and spent 111900,Utilities
vitamins,Healthcare
"parking today, 141",Transport
kfc cost me 276000,Food
went to electricity and spent 10k,Utilities
paid for apartment,Housing
paid for property tax,Housing
just paid 4k for gas bill,Utilities
got best buy - 86k,Shopping
went to first aid and spent 99,Healthcare
doctor,Healthcare
paid 211 towards amazon,Shopping
went to laptop and spent 29k,Shopping
spent 298900 on shoes,Shopping
460 for vitamins,Healthcare
lunch cost me 25k,Food
paid 391100 towards clothes,Shopping
went to wifi and spent 44,Utilities
paid 65k for tolls,Transport
bought concert for 55k,Entertainment
went to bus ticket and spent 219,Transport
got shoes - 60k,Shopping
fuel cost,Transport
bought mortgage for 140,Housing
bought mortgage for 2k,Housing
bought cell plan for 84k,Utilities
cost of boda was 120,Transport
uber cost,Transport
just paid 35k for cinema,Entertainment
subway,Transport
paid 318 towards amazon,Shopping
spent on bus ticket,Transport
got checkup - 26k,Healthcare
paid 13k for supermarket,Food
fuel,Transport
expensive subway 29k,Transport
expensive games 347,Entertainment
spent on electronics,Shopping
went to maintenance and spent 191500,Housing
just paid 700 for amazon,Shopping
paid for theater,Entertainment
lunch,Food
cost of games was 37,Entertainment
spent on electricity,Utilities
just paid 378100 for meal,Food
paid for phone bill,Utilities
electricity,Utilities
checkup cost,Healthcare
bought movie for 356100,Entertainment
home depot 68700,Housing
rent,Housing
clinic,Healthcare
paid for therapy,Healthcare
spotify,Entertainment
just paid 239 for tolls,Transport
eye exam cost,Healthcare
spent on apartment,Housing
spent on shirts,Shopping
got cafe - 22k,Food
bought first aid for 31k,Healthcare
paid for clinic,Healthcare
expensive uber 365500,Transport
expensive train 245300,Transport
spent 5k on games,Entertainment
381600 for tolls,Transport
breakfast 76k,Food
spppent 45kkk on kfffcc,Food
boda 63k,Transport
paid 104 for water bill,Utilities
sneakers cost me 94k,Shopping
games cost,Entertainment
 ,Food
spent 334900 on eye exam,Healthcare
paid 115 for restaurant,Food
paid 376200 towards rent,Housing
went to cleaning and spent 425900,Housing
just paid 64 for ikea,Housing
rent***---__,Housing
paid 75 towards cinema,Entertainment
cost of therapy was 466,Healthcare
bought fuel for 471000,Transport
expensive dentist 2100,Healthcare
paid 83k for supermarket,Food
pizza cost me 95k,Food
got flight - 346600,Transport
dinner,Food
went to club and spent 329,Entertainment
watr blll,Utilities
paid for restaurant,Food
snacks cost,Food
coffee cost,Food
cafe cost me 95600,Food
club,Entertainment
taxi,Transport
gas,Transport
bought maintenance for 190,Housing
got power - 42300,Utilities
got lunch - 402400,Food
expensive jacket 144500,Shopping
spent 470 on sneakers,Shopping
ubbber ride hjshd,Transport
just paid 95k for checkup,Healthcare
wifi 30,Utilities
"home depot today, 497",Housing
rent***---__,Housing
checkup cost me 444600,Healthcare
paid for furniture,Housing
spent 488 on doctor,Healthcare
cost of property tax was 111200,Housing
just paid 206400 for shirts,Shopping
concert 96k,Entertainment
club,Entertainment
expensive property tax 411100,Housing
went to boda and spent 79,Transport
bought electronics for 420,Shopping
dinner cost me 129,Food
"train today, 1500",Transport
paid 227500 towards shoes,Shopping
spent on pharmacy,Healthcare
paid 40 for theater,Entertainment
clinic cost me 326,Healthcare
water bill cost me 118100,Utilities
transit 206,Transport
asdfasdf rent asdf,Housing
bought gas for 292,Transport
cost of broadband was 387900,Utilities
dinner cost me 83000,Food
bought eye exam for 30,Healthcare
bowling cost,Entertainment
51k for clinic,Healthcare
"breakfast today, 90k",Food
ubbber ride hjshd,Transport
spent 65600 on target,Shopping
netflxxxxxxxxxxx,Entertainment
got vitamins - 196,Healthcare
spent on property tax,Housing
bought party for 9k,Entertainment
spent 27k on maintenance,Housing
paid 50k towards pharmacy,Healthcare
expensive doctor 257,Healthcare
paid 57k for bus ticket,Transport
concert,Entertainment
burger cost me 384300,Food
cost of cinema was 5k,Entertainment
paid 319600 for rent,Housing
got home depot - 416,Housing
power 452,Utilities
bought furniture for 53k,Housing
"doctor today, 394",Healthcare
shoes,Shopping
spent 126 on dinner,Food
bought clinic for 9k,Healthcare
went to kfc and spent 389,Food
bought phone bill for 35k,Utilities
spent 406 on lunch,Food
"clinic today, 54k",Healthcare
cost of amazon was 65k,Shopping
gas bill cost,Utilities
home depot cost me 116,Housing
wifi cost,Utilities
paid 37 for clinic,Healthcare
went to apartment and spent 85k,Housing
home depot 53,Housing
asdfasdf rent asdf,Housing
trash 153,Utilities
cost of cell plan was 267,Utilities
paid 79k towards snacks,Food
just paid 35k for party,Entertainment
spent on meal,Food
paid 65400 for taxi,Transport
trash cost,Utilities
cost of pharmacy was 484100,Healthcare
spent on coffee,Food
492700 for club,Entertainment
bought some random stuff,
spent 62k on jacket,Shopping
water bill,Utilities
just paid 415 for lunch,Food
went to cinema and spent 306700,Entertainment
rent,Housing
bought apartment for 191,Housing
gifts cost,Shopping
cafe,Food
just paid 437500 for flight,Transport
just paid 436 for medicine,Healthcare
checkup,Healthcare
paid for cafe,Food
went to kfc and spent 112500,Food
just paid 90k for tolls,Transport
taxi,Transport
fuel cost,Transport
102 for first aid,Healthcare
paid 353 towards steam,Entertainment
spent 70 on shoes,Shopping
kfc cost me 440,Food
went to trash and spent 201400,Utilities
spent on gas bill,Utilities
paid 492800 for clinic,Healthcare
cost of club was 18k,Entertainment
71 for kfc,Food
"parking today, 286200",Transport
spent on netflix,Entertainment
expensive best buy 179,Shopping
expensive parking 88k,Transport
shooesss!!!!!!!!,Shopping
paid 447 towards trash,Utilities
paid 334 for internet,Utilities
home depot,Housing
got internet - 120,Utilities
went to plumber and spent 70k,Housing
paid for music,Entertainment
paid 260 towards dinner,Food
just paid 359 for clothes,Shopping
bought movie for 1800,Entertainment
spent 148400 on fuel,Transport
bought burger for 39k,Food
paid for concert,Entertainment
spent on furniture,Housing
bought some random stuff,
plumber cost,Housing
just paid 31k for internet,Utilities
ubbber ride hjshd,Transport
paid 408500 towards doctor,Healthcare
fuel 409,Transport
337800 for clothes,Shopping
got broadband - 328,Utilities
spent on movie,Entertainment
spent 22k on gas bill,Utilities
lunch cost,Food
transit cost me 479,Transport
paid 59k towards apartment,Housing
"pharmacy today, 315600",Healthcare
got first aid - 244,Healthcare
paid 64k towards club,Entertainment
got rent - 80k,Housing
paid 344800 for mortgage,Housing
rent***---__,Housing
bought supermarket for 418300,Food
cost of transit was 439100,Transport
jacket cost,Shopping
163400 for lunch,Food
just paid 85k for snacks,Food
expensive shoes 373,Shopping
cleaning 91k,Housing
just paid 197 for kfc,Food
353 for cleaning,Housing
paid for supermarket,Food
phone bill 7k,Utilities
electronics cost me 333700,Shopping
spent 247400 on first aid,Healthcare
paid for concert,Entertainment
got gas bill - 62k,Utilities
docccctooor!! 99999999,Healthcare
went to steam and spent 4k,Entertainment
spent 55k on shirts,Shopping
groceries cost me 388700,Food
transit 70200,Transport
426500 for snacks,Food
spent on hospital,Healthcare
bus ticket 134,Transport
power 383200,Utilities
went to first aid and spent 11k,Healthcare
apartment,Housing
got power - 63k,Utilities
home depot cost,Housing
got flight - 104600,Transport
just paid 135 for rent,Housing
got cleaning - 185800,Housing
just paid 186800 for pizza,Food
paid 233 towards therapy,Healthcare
expensive theater 492000,Entertainment
sneakers,Shopping
clothes,Shopping
bought dentist for 314400,Healthcare
cost of kfc was 473,Food
paid 5k towards subway,Transport
got wifi - 38k,Utilities
   ,Transport
spent 45 on vitamins,Healthcare
steam,Entertainment
paid 407 for target,Shopping
just paid 39k for best buy,Shopping
target,Shopping
expensive dinner 26,Food
"mortgage today, 12",Housing
24k for dentist,Healthcare
expensive supermarket 162900,Food
netflix,Entertainment
got laptop - 448,Shopping
paid 53000 for best buy,Shopping
spent 91900 on pharmacy,Healthcare
home depot 248800,Housing
spent 226 on meal,Food
paid 441900 for best buy,Shopping
best buy,Shopping
electronics 25k,Shopping
games 405900,Entertainment
cost of checkup was 116900,Healthcare
   ,Transport
78k for trash,Utilities
went to laptop and spent 99,Shopping
jacket,Shopping
just paid 420 for eye exam,Healthcare
bought maintenance for 72k,Housing
got phone bill - 15k,Utilities
expensive club 230500,Entertainment
spent on pharmacy,Healthcare
shoes,Shopping
spent 212300 on clothes,Shopping
paid 407100 for amazon,Shopping
rent cost,Housing
broadband cost me 342,Utilities
bought pizza for 230200,Food
home depot,Housing
paid 143 towards cell plan,Utilities
went to home depot and spent 78,Housing
spent on restaurant,Food
500,Food
expensive power 280,Utilities
"subway today, 281200",Transport
paid for netflix,Healthcare
bought therapy for 24k,Healthcare
bought gifts for 159,Shopping
paid 420 towards bowling,Entertainment
cost of broadband was 161,Utilities
went to burger and spent 62k,Food
apartment,Housing
property tax,Housing
spent on wifi,Utilities
groceries,Food
paid 409 for furniture,Housing
paid 25 for best buy,Shopping
paid for clothes,Shopping
rent,Housing
expensive bowling 94k,Entertainment
"theater today, 241900",Entertainment
went to laptop and spent 407700,Shopping
expensive cinema 94k,Entertainment
paid 14k for gifts,Shopping
theater,Entertainment
expensive cafe 373,Food
9k for parking,Transport
eye exam 29,Healthcare
got fuel - 442100,Transport
paid for cell plan,Utilities
342 for spotify,Entertainment
went to rent and spent 184,Housing
spent 242 on target,Shopping
watr blll,Utilities
77k for movie,Entertainment
gifts cost me 390500,Shopping
"mall today, 451300",Shopping
movie cost me 83,Entertainment
bought rent for 35000,Housing
paid 5000,
just paid 59 for plumber,Housing
laptop,Shopping
spent 434300 on mortgage,Housing
doctor cost me 97,Healthcare
spent on water bill,Utilities
59 for shirts,Shopping
got first aid - 281200,Healthcare
paid 77k for burger,Food
expensive lunch 273500,Food
electricity cost,Utilities
paid for pizza,Food
coffee cost,Food
went to phone bill and spent 327,Utilities
spent on kfc,Food
"clinic today, 227300",Healthcare
expensive fuel 26k,Transport
paid 437000 towards doctor,Healthcare
spotify cost,Entertainment
spent 37k on club,Entertainment
dinner,Food
electricity cost,Utilities
bought train for 34k,Transport
just paid 345 for spotify,Entertainment
maintenance 71k,Housing
just paid 333 for theater,Entertainment
paid for bowling,Entertainment
298 for groceries,Food
paid for maintenance,Housing
cost of broadband was 63k,Utilities
251 for bowling,Entertainment
spent on taxi,Transport
cost of therapy was 461400,Healthcare
expensive amazon 310,Shopping
spent on flight,Transport
docccctooor!! 99999999,Healthcare
spent on trash,Utilities
burger,Food
gifts cost,Shopping
paid for tolls,Transport
paid 277 towards subway,Transport
got cell plan - 130,Utilities
47k for coffee,Food
went to burger and spent 238,Food
120k,Shopping
paid for property tax,Housing
paid 56k towards gas,Transport
just paid 389100 for steam,Entertainment
paid 5000,
just paid 441200 for supermarket,Food
paid for best buy,Shopping
bought target for 96,Shopping
taxi,Transport
bought target for 61k,Shopping
asdfasdf rent asdf,Housing
spent 13600 on gifts,Shopping
plumber cost me 31k,Housing
paid 318 for home depot,Housing
hospital 83,Healthcare
paid 5000,
expensive bus ticket 20,Transport
"clinic today, 55",Healthcare
spent on club,Entertainment
expensive property tax 32,Housing
got trash - 499800,Utilities
train cost,Transport
paid for furniture,Housing
paid 442 for kfc,Food
went to steam and spent 49k,Entertainment
unknown charge,
cost of pharmacy was 29,Healthcare
cost of sneakers was 96k,Shopping
paid for apartment,Housing
fuel,Transport
electronics,Shopping
flight,Transport
watr blll,Utilities
cost of restaurant was 21,Food
kfc,Food
expensive music 214,Entertainment
got bowling - 19k,Entertainment
clothes cost me 70k,Shopping
cost of mall was 159800,Shopping
expensive fuel 433,Transport
got transit - 271000,Transport
went to flight and spent 381600,Transport
got burger - 75k,Food
phone bill cost me 73400,Utilities
got internet - 33k,Utilities
expensive party 324,Entertainment
36 for pharmacy,Healthcare
paid 96 for broadband,Utilities
expensive electronics 410300,Shopping
spent 7k on train,Transport
lunch 99k,Food
wifi cost me 88k,Utilities
went to doctor and spent 218,Healthcare
got theater - 17k,Entertainment
spppent 45kkk on kfffcc,Food
spent 90k on rent,Housing
cost of rent was 270,Housing
expensive furniture 24k,Housing
paid 106 for burger,Food
bowling,Entertainment
expensive eye exam 25,Healthcare
expensive dentist 86k,Healthcare
apartment,Housing
"medicine today, 66k",Healthcare
jacket cost me 33,Shopping
bought some random stuff,
just paid 382 for gas bill,Utilities
cinema,Entertainment
paid for parking,Transport
party,Entertainment
195500 for restaurant,Food
"amazon today, 228",Shopping
kfc 63,Food
"burger today, 151700",Food
cost of jacket was 169500,Shopping
paid 73k towards cafe,Food
got first aid - 20k,Healthcare
maintenance,Housing
games cost,Entertainment
spent on cleaning,Housing
"lunch today, 115",Food
just paid 482 for gas bill,Utilities
sneakers cost me 41k,Shopping
just paid 440 for gifts,Shopping
360 for apartment,Housing
expensive wifi 149,Utilities
paid 141 towards meal,Food
expensive coffee 128800,Food
movie 256,Entertainment
expensive cell plan 459,Utilities
cost of hospital was 54k,Healthcare
target cost,Shopping
hospital 437900,Healthcare
pharmacy,Healthcare
cost of shirts was 285900,Shopping
"jacket today, 39k",Shopping
expensive supermarket 44k,Food
plumber 25100,Housing
spent 42k on tolls,Transport
vitamins,Healthcare
spent on gifts,Shopping
trash 18000,Utilities
"gifts today, 12",Shopping
267 for fuel,Transport
taxi 97k,Transport
gas bill cost me 70k,Utilities
"party today, 223700",Entertainment
paid for amazon,Shopping
spent on medicine,Healthcare
rent,Housing
8k for rent,Housing
got taxi - 44,Transport
went to burger and spent 26k,Food
uber,Transport
expensive supermarket 384,Food
got furniture - 397,Housing
burger cost,Food
just paid 95k for burger,Food
broadband 346100,Utilities
"lunch today, 59700",Food
electricity cost,Utilities
spent 98k on transit,Transport
"transit today, 261200",Transport
cost of flight was 146400,Transport
target cost me 90k,Shopping
paid for property tax,Housing
spent 35k on jacket,Shopping
clothes cost me 352100,Shopping
paid 192 for spotify,Entertainment
bowling cost,Entertainment
spent on parking,Transport
"coffee today, 143",Food
cost of phone bill was 125100,Utilities
just paid 44k for internet,Utilities
wifi 195400,Utilities
cost of spotify was 5000,Entertainment
bought movie for 11k,Entertainment
"boda today, 93k",Transport
paid 383 for doctor,Healthcare
watr blll,Utilities
spent on laptop,Shopping
bought plumber for 163700,Housing
paid 53k towards groceries,Food
went to best buy and spent 274,Shopping
paid 54k towards maintenance,Housing
went to jacket and spent 348,Shopping
"home depot today, 262",Housing
train cost,Transport
paid for mortgage,Housing
expensive cleaning 357,Housing
expensive amazon 232,Shopping
expensive cafe 264000,Food
paid 430600 towards snacks,Food
spent on lunch,Food
paid 83k for steam,Entertainment
paid 13200 for concert,Entertainment
cost of electronics was 487,Shopping
bought power for 481900,Utilities
paid 97700 for first aid,Healthcare
mortgage 93500,Housing
spent on first aid,Healthcare
paid 384 towards checkup,Healthcare
440800 for groceries,Food
paid 458 for sneakers,Shopping
paid for taxi,Transport
therapy 72k,Healthcare
spent 396300 on laptop,Shopping
vitamins cost me 277,Healthcare
"maintenance today, 366",Housing
bought theater for 179,Entertainment
maintenance,Housing
taxi cost me 155000,Transport
bought therapy for 371,Healthcare
concert 147800,Entertainment
expensive phone bill 317400,Utilities
went to jacket and spent 404500,Shopping
"therapy today, 406",Healthcare
cost of mall was 23k,Shopping
just paid 110000 for coffee,Food
wifi,Utilities
expensive wifi 155,Utilities
cafe,Food
paid 94k towards flight,Transport
461000 for supermarket,Food
wifi,Utilities
paid 500 towards water bill,Utilities
"cleaning today, 456800",Housing
ubbber ride hjshd,Transport
bought taxi for 449800,Transport
got property tax - 184,Housing
paid 22k for water bill,Utilities
medicine cost me 119800,Healthcare
restaurant cost me 92k,Food
cost of doctor was 421700,Healthcare
got spotify - 309100,Entertainment
expensive gifts 61k,Shopping
paid for property tax,Housing
got supermarket - 49k,Food
paid 342 for steam,Entertainment
mortgage,Housing
paid 226100 for checkup,Healthcare
32k for shoes,Shopping
just paid 421 for parking,Transport
got music - 418,Entertainment
went to medicine and spent 99k,Healthcare
best buy 377700,Shopping
paid for shirts,Shopping
bought cinema for 471,Entertainment
just paid 197600 for movie,Entertainment
burger,Food
gas bill,Utilities
bought eye exam for 144200,Healthcare
boda cost me 205,Transport
"vitamins today, 147800",Healthcare
paid for furniture,Housing
bought shirts for 41k,Shopping
got mall - 193,Shopping
internet,Utilities
paid for coffee,Food
bought games for 92k,Entertainment
$$$@#$@@! coffee!!!,Food
paid 60k for laptop,Shopping
bought internet for 322600,Utilities
steam cost me 53k,Entertainment
just paid 424 for medicine,Healthcare
59k for dentist,Healthcare
spent 52k on lunch,Food
paid 131800 for club,Entertainment
got supermarket - 429000,Food
paid 352 for concert,Entertainment
steam cost,Entertainment
netflxxxxxxxxxxx,Entertainment
paid for gas bill,Utilities
500,Food
paid 1k for trash,Utilities
cost of shirts was 266,Shopping
got therapy - 235,Healthcare
"first aid today, 360300",Healthcare
spent on water bill,Utilities
snacks cost,Food
paid 366 for uber,Transport
"breakfast today, 267400",Food
netflix,Entertainment
paid for wifi,Utilities
36k for concert,Entertainment
49k for spotify,Entertainment
paid 77k towards power,Utilities
spent on rent,Housing
just paid 437 for breakfast,Food
193 for bus ticket,Transport
just paid 7k for tolls,Transport
just paid 333700 for gas,Transport
"concert today, 62k",Entertainment
paid 459 towards gifts,Shopping
